,conv_id,context,prompt,speaker_utterance,listener_utterance,empathy,pred,empathy_red
2,hit:7038_conv:14076,impressed,My coworker did this presentation at work that was very well done. I was proud of them.,I was really proud of my coworker and their presentation at work recently.,That is nice. It is good to be supportive,3,3,3
5,hit:8760_conv:17520,excited,My wife is getting back from being in Germany for 2 months in a week.  I can't wait!,She was taking a language course in Germany for her graduate studies.,That is pretty cool! That would be hard though! Were you all able to talk a lot?,3,3,3
9,hit:3070_conv:6140,embarrassed,I fell out of my chair at work during a meeting.,I am fine. My pride is a little injured though.,Yeah that would be a little embarrassing I am sure. ,2,2,3
11,hit:4757_conv:9515,disgusted,One day I went to make a sandwich_comma_ mold was covering the entire loaf of bread,I went to make a sandwich one day and the entire laof of bread was covered in mold!,ewww! that is gross. I actually made a toast for my son yesterday and when i was about to give it to him i noticed a little bit of mold on the side. i almost threw up,3,3,3
12,hit:1309_conv:2619,disgusted,I am sick that I send Obama money for his campaign.,This was not recent this was 8 years ago.,Ahhh_comma_ so you are upset at your past self? We all make mistakes_comma_ man_comma_ it is good. What we think is good for us sometimes turns out to not be_comma_ but hindsight is twenty twenty.,3,3,3
15,hit:2593_conv:5186,excited,I'm excited to plan a surprise party for my boyfriend,I think I will get everyone to wait at a restaurant and I will tell him we are going to dinner and all his friends will be there!,That is a good idea. What restaurant were you thinkin?,3,3,3
17,hit:10753_conv:21506,content,Last year I spent a week in Mexico hanging out on a beach. I felt really at peace and happy.,I know_comma_ I saved up for a couple years and finally got a vacation_comma_ it was so peaceful and I was happy and relaxed!,You get relaxed and even get more productive when you get back to work.,3,3,3
18,hit:978_conv:1957,surprised,I was at home and at the last minute my father took me to the Yankee game.,I was at home and last minute my dad took me to the Yankees game.,That is so thoughtful of him_comma_ did you guys catch a ball? ,3,3,3
20,hit:10550_conv:21100,content,I really enjoy going out and skating with my kids in the evening. Its the most fun part of my day.,I try to skateboard with my kids everyday. They love it_comma_ and it makes me feel young again.,Wow_comma_ very cool. The last time i tried to skateboard i almost broke my tailbone. props to you though!,3,3,3
23,hit:11235_conv:22470,content,I feel so happy when the sunsets are beautiful and I can take the time to watch and relax. It is the best time of the day for me.,Yeah_comma_ it is such a good time to reflect and meditate on life and stop to enjoy the beauty of this world.,It reminds you of how beautiful life is.,3,3,3
25,hit:10648_conv:21296,caring,My friend has been diagnosed with cancer recently but I have been helping her out by paying her visits everyday,My friend has been diagnosed with cancer recently but I have been helping her out by paying her visits everyday,I am so sorry to hear that. She is lucky to have you checking on her_comma_ you sound like a good friend.,3,3,3
28,hit:11663_conv:23327,prepared,i have a fantasy football draft tomorrow. i have got all the info i need to get the perfect team.,well if at the end of the season you win it all_comma_ you get about 2 grand!,That is a lot of money. Best of luck to you!,3,3,3
29,hit:4870_conv:9741,ashamed,My son's Vice Principal called me to say that he had pushed another kid and used inappropriate words in the lunch room.,I got a call from my son's school. The Vice Principal told me he pushed another kid and cursed in the lunch room!,Oh no! I am sorry to hear that. Was he suspended?,3,3,3
32,hit:7412_conv:14825,hopeful,We are working on getting a lot of things done in our house right now.  The goal is to sell it and move into a different neighborhood in the next few years.,Well_comma_ we just started but we expect it to take a few years.  We want to move when the girls go to college if possible and get into a different neighborhood.,I hope to move into a house next year,3,3,3
34,hit:8784_conv:17569,surprised,My boss gave me the afternoon off.,My boss gave me the afternoon off.,Those days are they best. Are you going to run errands or just chill?,3,3,3
37,hit:745_conv:1490,impressed,I went to a drink and paint party the other day. All of our amateur paintings turned out great!,Yes. I went to one last week. I was surprised at how good all of our paintings turned out.,I always am as well because I am not an artist by any means.,3,3,3
