conv_id,context,prompt,empathy,speaker_utterance,listener_utterance,s_negative,s_neutral,s_positive,l_negative,l_neutral,l_positive,predictions_ER,predictions_IP,predictions_EX,valence_speaker,arousal_speaker,dominance_speaker,valence_listener,arousal_listener,dominance_listener,s_word_len,l_word_len,agreeing,acknowledging,encouraging,consoling,sympathizing,suggesting,questioning,wishing,neutral,mimicry
hit:8313_conv:16626,anger,My upstairs neighbor moved out recently and left all her trash and furniture in our parking lot next to the garbage cans. No one has a place to park! I'm so mad.,5.0,I am so irritated at my neighbor. She moved out recently and left ALL her garbage and old furniture in our parking lot by the garbage.,That is not very considerate of her. Was she a bad neighbor while she lived there too? Some people!,0.97593284,0.02104291,0.0030242933,0.9352512,0.06090698,0.0038419063,0,0,2,-0.1017499999999999,-0.1004999999999999,-0.349,0.0835,-0.0735,-0.03,26,19,0.0002098096592817,0.0001457524340366,4.240294947521761e-05,2.917181882367004e-05,0.0017409797292202,0.0020989070180803,0.9849603772163392,0.0003222883970011,0.0104503966867923,0
hit:8313_conv:16626,anger,My upstairs neighbor moved out recently and left all her trash and furniture in our parking lot next to the garbage cans. No one has a place to park! I'm so mad.,5.0,Not at all_comma_ that is what is so weird! She was really polite_comma_ quiet_comma_ and neat.,I wonder what could have changed? Either way_comma_ I would be pretty pissed off.,0.46677953,0.3645712,0.16864921,0.88633484,0.1059897,0.0076754102,0,0,1,0.4285,-0.311,-0.057,0.161,0.079,0.0689999999999999,16,14,6.223779200809076e-05,8.925522706704214e-05,3.3575186535017565e-05,2.2291475033853203e-05,0.0001399935281369,0.001169433700852,0.9982813596725464,5.645466080750339e-05,0.0001453224977012,0
hit:4444_conv:8888,anger,my cat vomited in the floor and i stepped in it!,4.0,my cat vomited in the floor and i stepped in it!,Oh no!!!  Did it smell bad?,0.86325574,0.1190015,0.017742747,0.8983445,0.09140988,0.010245644,0,0,2,0.097,-0.51,-0.38,-0.365,0.145,-0.297,11,6,5.907583545194939e-05,3.881762677337974e-05,3.530305184540339e-05,1.9630415408755653e-05,0.0001397792366333,0.0003493481490295,0.9986057877540588,0.0002534270461183,0.000498803157825,0
hit:4444_conv:8888,anger,my cat vomited in the floor and i stepped in it!,4.0,no just really gross_comma_ all warm and mushy between my toes. ,Ewwwww!  Hope the cat is okay!,0.9237278,0.06820172,0.008070517,0.43700376,0.3939224,0.16907382,1,0,0,-0.0995,-0.346,-0.3795,0.594,-0.423,0.1089999999999999,11,6,0.0001482865045545,0.0042879143729805,0.0062974779866635,0.9884259700775146,0.000318237231113,0.0002332943113287,0.0001184927241411,8.422006794717163e-05,8.603971946286038e-05,0
hit:8065_conv:16131,anger,My dog pooped on the rug today. I was so mad.,5.0,My dog pooped on the rug today.,Oh no!! You must have been so mad!,0.92032087,0.07386044,0.005818776,0.8752044,0.10468565,0.020109983,0,0,0,0.3533333333333333,-0.3026666666666667,-0.324,-0.373,0.255,-0.282,7,8,0.0007472156430594,0.9901416897773744,0.0005141246947459,9.221383515978232e-05,8.006139250937849e-05,6.108200614107773e-05,0.0001403016212861,0.0080071166157722,0.0002162470045732,0
hit:8065_conv:16131,anger,My dog pooped on the rug today. I was so mad.,5.0,I was! Especially since it was a 10 million dollar carpet!,That dog probably would not be living in my house anymore!! Did you have it cleaned?,0.009540957,0.17601903,0.8144401,0.8770004,0.11435118,0.008648381,0,2,2,0.3673333333333333,-0.0339999999999999,0.2299999999999999,0.3276,-0.242,0.0592,11,16,5.131526268087328e-05,0.0001069409117917,1.8970449673361145e-05,2.001621760427952e-05,0.0003854139649774,0.0003910516097676,0.9985439777374268,9.99240219243802e-05,0.000382464233553,1
hit:3861_conv:7723,anger,I just found out that my entire family planned a beach vacation trip together and didn't include me.  I am dumbfounded and irate!,5.0,I just found out that my entire family planned a beach vacation trip together and did not include me. I am dumbfounded and irate!,Oh man_comma_ that sucks. Were they trying to keep the trip a secret from you?,0.94217753,0.051795356,0.00602707,0.89606714,0.09704713,0.0068856976,1,0,2,0.5242000000000001,0.0061999999999999,0.1969999999999999,0.206,0.1124999999999999,-0.0144999999999999,24,15,6.287731957854703e-05,5.77591490582563e-05,1.8563878256827596e-05,3.77694632334169e-05,0.0003981327754445,0.0015662675723433,0.9973312616348268,9.435402898816392e-05,0.0004329961957409,1
hit:3861_conv:7723,anger,I just found out that my entire family planned a beach vacation trip together and didn't include me.  I am dumbfounded and irate!,5.0,My mom called and told me because she felt bad. My siblings are taking them for free so I am not mad at them but I am definitely mad at my brother and sister! They did not say a thing_comma_ even when i mentioned it.,That sounds like it would be really disappointing. Are you close to your brother and sister?,0.91170293,0.08155543,0.0067416467,0.9304208,0.06569963,0.0038795585,0,0,2,0.2081818181818181,-0.058,-0.0614545454545454,0.1659999999999999,-0.1505714285714285,-0.1879999999999999,45,16,0.0005224507767707,0.7212719917297363,0.0004789463419001,0.0004077845951542,0.000325592176523,0.000318724400131,0.2752521336078644,0.0011352396104484,0.0002871631586458,1
hit:9176_conv:18352,anger,I recently found out that my girlfriend has been cheating on me with another woman. She promised me that she wasn't that type of girl. Needless to say_comma_ I'm quite upset about it.,5.0,My girlfriend has been cheating on me with another woman!,That is terrible and a little odd!,0.8671607,0.1250904,0.0077489,0.9504508,0.04342526,0.0061239717,0,0,0,0.424,0.526,0.208,-0.526,-0.1026666666666667,-0.254,10,7,0.0003718939551617,0.9979448914527892,0.0003076364519074,0.0008474404457956,5.696076914318837e-05,2.941701859526802e-05,9.193576988764109e-05,0.0001469708076911,0.0002029325114563,0
hit:9176_conv:18352,anger,I recently found out that my girlfriend has been cheating on me with another woman. She promised me that she wasn't that type of girl. Needless to say_comma_ I'm quite upset about it.,5.0,Yeah_comma_ tell me about it! I trusted her to only cheat on me with other men_comma_ but I just do not know how I can deal with this betrayal!!!,Wait_comma_ you were ok with her cheating?,0.952462,0.043988816,0.0035491793,0.40843734,0.57382107,0.01774163,0,0,2,-0.0328571428571428,0.0237142857142857,-0.0522857142857143,-0.552,-0.666,-0.472,29,7,8.778851042734459e-05,3.3177213481394574e-05,3.040255978703499e-05,8.204988989746198e-05,0.0003767713787965,0.0075128460302948,0.9906371235847472,0.0002054343494819,0.0010345369810238,0
hit:2240_conv:4480,anger,I am upset the baseball game got canceled.,4.0,I am upset the baseball game got canceled.,I do not watch a lot of baseball but was it an important game?,0.97355336,0.023846159,0.0026004794,0.33934686,0.57796,0.082693115,0,0,2,-0.0226666666666666,0.4853333333333333,-0.076,0.318,0.0956666666666666,0.0736666666666666,8,14,0.0001710190845187,6.893552199471742e-05,5.7511988416081294e-05,2.9012571758357808e-05,0.0013434013817459,0.0015907800989225,0.992489755153656,0.000175142660737,0.0040743425488471,0
hit:2240_conv:4480,anger,I am upset the baseball game got canceled.,4.0,Yes_comma_ it was to see who made the playoffs.,Well_comma_ I am sorry to hear that. Maybe they will reschedule it for a later date?,0.051160477,0.8625349,0.08630463,0.4616866,0.487023,0.05129033,2,0,2,0.257,-0.015,-0.138,0.1624,-0.2592,-0.0688,9,16,0.0004938945639878,0.0001714384125079,0.0001388374512316,0.0001743422471918,0.0435326248407363,0.9398120045661926,0.015055501833558,0.0003226722474209,0.0002987280022352,0
hit:9381_conv:18762,anger,I really don't like it when people talk on the phone when at the movies.,3.0,I really do not like it when people talk on the phone when at the movies.,Have you ever talked on the phone at movies yourself?,0.972295,0.025257494,0.002447623,0.053049527,0.89001966,0.056930844,0,0,2,0.4708,-0.1988,-0.0284,0.521,-0.096,-0.111,16,10,8.615948900114745e-05,3.729042873601429e-05,5.490247713169083e-05,2.336798024771269e-05,0.0003032969834748,0.0002895212383009,0.9987892508506776,0.0002976543328259,0.0001186147928819,1
hit:9381_conv:18762,anger,I really don't like it when people talk on the phone when at the movies.,3.0,Never_comma_ I turn my phone off when I go to the movies.,Well Its always fun to get the people on their phones thrown out of the movie theater,0.4227391,0.49499688,0.082264036,0.20559622,0.3744582,0.41994554,0,0,0,0.281,-0.1285,-0.0925,0.4408571428571428,0.1217142857142857,0.1022857142857142,12,17,0.0010764801409095,0.9851239323616028,4.9215548642678186e-05,0.0001409553660778,0.0001610556209925,0.0002327325782971,0.0002814727195072,0.0006373866344802,0.012296762317419,1
hit:10472_conv:20944,anger,I'm so mad at my neighbor! He's working on his home and dropped nails in the street. I got a flat tire because of him.,5.0,I am so mad at my neighbor! He is working on his home and dropped nails in the street.,Oh no! Does he do that a lot?,0.9782281,0.019498812,0.0022731342,0.7391699,0.24563685,0.015193169,0,0,2,0.1776666666666666,-0.0343333333333333,-0.1626666666666666,0.1673333333333333,-0.2673333333333333,-0.172,19,8,7.840778562240303e-05,7.651905616512522e-05,0.00023761135526,2.0496852812357247e-05,4.910430288873613e-05,0.0002650688111316,0.9986212253570556,0.0004910006537102,0.0001605203578947,0
