conv_id,context,prompt,empathy,speaker_utterance,listener_utterance,s_negative,s_neutral,s_positive,l_negative,l_neutral,l_positive,predictions_ER,predictions_IP,predictions_EX,valence_speaker,arousal_speaker,dominance_speaker,valence_listener,arousal_listener,dominance_listener,s_word_len,l_word_len,agreeing,acknowledging,encouraging,consoling,sympathizing,suggesting,questioning,wishing,neutral,mimicry
hit:8731_conv:17463,surprise,I didn't know that they noticed me. I thought that I was just an ordinary employee. I didn't know what to say when I saw my name on the plaque. ,5.0,I never thought that I would be noticed. ,By who? Who are you trying to get noticed by?,0.6675168,0.2815292,0.050953962,0.22652388,0.745548,0.027928084,0,0,2,0.273,-0.273,-0.002,0.48,0.188,0.334,8,10,6.182462675496936e-05,3.335592555231415e-05,3.203717278665863e-05,2.703005156945437e-05,0.0001379864406771,0.0006275802152231,0.998817265033722,0.0001475445315008,0.0001153694174718,0
hit:8731_conv:17463,surprise,I didn't know that they noticed me. I thought that I was just an ordinary employee. I didn't know what to say when I saw my name on the plaque. ,5.0,My employers gave me employee of the month and a nice gift to go along with the award.,Oh that is so nice! I am sure you are a great coworker and employee,0.0017206676,0.030758146,0.9675212,0.0015207921,0.006152413,0.9923268,1,0,0,0.4622857142857142,-0.0568571428571428,0.1131428571428571,0.5444000000000001,-0.1088,0.3435999999999999,18,15,0.0002702194906305,0.9985135197639464,0.0002541531866881,0.0002047949092229,7.60552502470091e-05,3.720870518009178e-05,5.995741230435669e-05,0.0005128451739437,7.122624811017886e-05,1
hit:4176_conv:8352,surprise,I was surprised when I was gifted a car for my graduation gift!,5.0,I was surprised when I was gifted a car for my graduation gift!,Well_comma_ that is great! What a wonderful surprise too! I bet you really appreciated it.,0.0015896325,0.022166079,0.9762442,0.0015020958,0.006052206,0.99244577,1,0,0,0.6888,0.3004,0.2908,0.6396,0.3792,0.3651999999999999,13,15,0.0003897576243616,0.9949422478675842,0.0028794286772608,0.0002036254300037,2.8620686862268485e-05,0.0004204575961921,0.00020771981508,0.0001208295725518,0.0008072216296568,1
hit:4176_conv:8352,surprise,I was surprised when I was gifted a car for my graduation gift!,5.0,I sure did_comma_ I needed a car badly,It is nice that your parents were able to do that for you. I would have loved it too!,0.16786009,0.6200413,0.2120986,0.001939505,0.013798048,0.98426247,1,0,0,0.125,-0.1695,0.129,0.5393333333333333,-0.0963333333333333,0.2883333333333334,8,19,0.0003083601768594,0.9984540939331056,0.000135835056426,0.0003098243032582,0.0001328872604062,2.366378430451732e-05,4.896577229374088e-05,0.000300703512039,0.0002857203653547,1
hit:990_conv:1981,surprise,Found out my roommate got a cat while I was gone_comma_ which was a little shocking,5.0,Found out my roommate got a cat while I was gone_comma_ which was a little shocking,oh no.. are you upset? ,0.5584562,0.38814372,0.053400103,0.63873553,0.33541927,0.02584519,0,0,2,0.1016666666666666,-0.19,-0.1413333333333332,-0.858,0.36,-0.34,16,5,4.016256571048871e-05,5.902579869143665e-05,2.9201812139945105e-05,2.379671423113905e-05,6.230700091691688e-05,0.0002295450831297,0.9993532299995422,0.0001279983989661,7.482917862944305e-05,0
hit:990_conv:1981,surprise,Found out my roommate got a cat while I was gone_comma_ which was a little shocking,5.0,I was at first. But now it is okay. The cat is actually kind of nice and affectionate.,awh thats good it turned out well afterall ,0.0025625525,0.028060328,0.96937716,0.0020698265,0.017741594,0.9801886,1,0,0,0.6355999999999999,-0.2544,0.1903999999999999,0.5680000000000001,-0.094,0.117,18,8,0.0017751614795997,0.9256877899169922,0.0001965507544809,0.0185217019170522,0.0022734864614903,0.0005748094990849,0.0004271520301699,0.0022260767873376,0.0483172312378883,1
hit:9315_conv:18630,surprise,I took my car to the garage to get the oil changed last week. When I went to pick it up they had done $600 worth of repairs that I didn't ask for!,3.0,I brought my car to the garage for a simple oil change last week. When I went to pick it up they had done $600 of repairs. I cannot believe it!,You cannot believe they did it without asking or that the car needed the repairs?,0.59107655,0.30624428,0.10267919,0.80441594,0.1861551,0.00942893,0,0,2,0.2177777777777778,-0.2597777777777778,-0.0382222222222222,0.4085,-0.144,0.2249999999999999,31,15,7.594698399771005e-05,0.0002412386820651,3.5441280488157645e-05,1.3627158296003472e-05,0.0002345940447412,0.0002593455428723,0.9983901977539062,6.948806549189612e-05,0.0006801389972679,1
hit:9315_conv:18630,surprise,I took my car to the garage to get the oil changed last week. When I went to pick it up they had done $600 worth of repairs that I didn't ask for!,3.0,The car was a 2014! I did not think it needed much of anything_comma_ I told them they were crazy and that I was not paying it!,Wow I hope everything works out for you!,0.5810976,0.33967388,0.07922845,0.0019839408,0.032001533,0.9660145,1,0,0,0.1975,0.0665,0.059,0.646,-0.087,0.489,27,8,0.0002146692422684,0.0002129562199115,0.0076352502219378,0.9849162101745604,0.0009481462184339,0.0056808176450431,0.0001986083661904,0.0001417377206962,5.158517160452902e-05,1
hit:7810_conv:15621,surprise,I was walking down the beach the other day and saw a guy do a double backflip from the ground. I wish I could do that,3.0,I was walking down the beach and this guy did a double backflip from just the ground. I was amazed,I would have cried right there.,0.0059148963,0.10717972,0.8869054,0.33191356,0.47017634,0.19791007,0,2,0,0.349,-0.0413333333333333,0.162,-0.0666666666666667,-0.0826666666666666,-0.0726666666666666,20,6,0.2609811425209045,0.7315830588340759,0.0018911900697275,0.0030690941493958,7.491727592423558e-05,0.0007527213310822,0.0001646488817641,0.0007082020747475,0.0007750271470285,0
hit:7810_conv:15621,surprise,I was walking down the beach the other day and saw a guy do a double backflip from the ground. I wish I could do that,3.0,I was super impressed. He must have been a gymnast or something,I can barely walk much less imagine that.,0.0027844089,0.03107502,0.96614057,0.858519,0.12972192,0.011759108,0,2,0,0.364,0.2875,0.104,0.256,-0.2825,-0.1205,12,8,0.0004526324919424,0.9748433828353882,0.0001422262430423,0.0192474517971277,0.0002769621787592,0.0003898404247593,0.0016413184348493,0.0006013885140419,0.002404736354947,0
hit:1015_conv:2031,surprise,I was impressed when my friend was our valedictorian in high school,4.0,I was impressed when my friend was our valedictorian in high school,Wow that is awesome.,0.0010481873,0.017775783,0.9811761,0.0021292216,0.014040057,0.9838307,1,0,0,0.4644,0.0424,0.1372,0.96,0.794,0.782,12,4,0.0003014811663888,0.9977242350578308,0.0002015329373534,0.0005485562724061,0.0001310233492404,4.708728010882624e-05,7.744102185824886e-05,0.0009164043585769,5.223412154009566e-05,1
hit:1015_conv:2031,surprise,I was impressed when my friend was our valedictorian in high school,4.0,Yeah_comma_ I was proud of them_comma_ I was surprised when i heard the enws,Why so surprised>,0.00508224,0.057359044,0.9375587,0.3729542,0.55267924,0.07436651,0,0,1,0.69,0.5549999999999999,0.412,0.568,0.71,0.078,14,3,0.0001362791954306,0.0001284833269892,2.0459305233089253e-05,1.882076503534336e-05,0.0002800348156597,9.82445853878744e-05,0.9989445805549622,0.0002173900720663,0.0001556060597067,1
hit:7821_conv:15643,surprise,The summer has seemed very short this year.,1.0,This Summer has seemed very short to me this year.,Summer flys by_comma_ i hope winter lasts a long time.,0.71919465,0.25489292,0.025912467,0.011216524,0.30428624,0.68449724,0,0,0,0.0253333333333333,-0.3859999999999999,-0.1986666666666666,0.4356666666666667,-0.1796666666666666,0.2056666666666666,10,10,0.0001515969197498,7.600211392855272e-05,0.0047880229540169,0.993543028831482,0.0001054671811289,0.0007522982778027,0.0003477318387012,8.528262696927413e-05,0.0001506214466644,0
hit:7821_conv:15643,surprise,The summer has seemed very short this year.,1.0,Yes_comma_ I love Fall and Winter the most.,The winter is where i spread my wings and grow.,0.0017852397,0.012539599,0.98567516,0.010181331,0.5782382,0.41158047,0,2,0,0.2266666666666666,0.0206666666666666,-0.0706666666666667,0.3545,-0.096,0.1475,8,10,0.0051872860640287,0.9084596037864684,0.0029348249081522,0.0002149574138456,0.0001602481352165,6.691971066175029e-05,0.0041159349493682,0.0778185501694679,0.0010416354052722,1
