conv_id,context,prompt,empathy,speaker_utterance,listener_utterance,s_negative,s_neutral,s_positive,l_negative,l_neutral,l_positive,predictions_ER,predictions_IP,predictions_EX,valence_speaker,arousal_speaker,dominance_speaker,valence_listener,arousal_listener,dominance_listener,s_word_len,l_word_len,agreeing,acknowledging,encouraging,consoling,sympathizing,suggesting,questioning,wishing,neutral,mimicry
hit:7464_conv:14928,joy,My son has not always been a strong swimmer.  During this summer_comma_ he spent a lot more time in the pool developing his swimming skills.  I had not yet seen this change in him.  Tonight_comma_ he was diving off the side and off the diving board.  Talk about a bragging papa!  That's me!,5.0,I just have to brag on my son. He has not always been a strong swimmer_comma_ but tonight_comma_ after a summer of practice_comma_ I was able to see his amazing improvement!,That is amazing hard work pays off and I think it is great that our kids know how to swim.,0.0014631661,0.017958496,0.9805783,0.0020073412,0.012943115,0.98504955,1,0,0,0.4634,0.0828,0.2764,0.4217777777777777,0.1282222222222222,0.2813333333333332,31,20,0.5628641843795776,0.4105887115001678,0.0007095509790815,0.0003855417016893,0.0001825952640501,0.0002192886458942,0.0003809186746366,0.0007846882217563,0.0238845739513635,1
hit:7464_conv:14928,joy,My son has not always been a strong swimmer.  During this summer_comma_ he spent a lot more time in the pool developing his swimming skills.  I had not yet seen this change in him.  Tonight_comma_ he was diving off the side and off the diving board.  Talk about a bragging papa!  That's me!,5.0,I agree. He was never timid about swimming_comma_ but he just was not real good. But tonight_comma_ he was diving (more of a belly flop) and swimming on the deep end.,How old is he that is great my daughter is 5 I think that will be one of my goals for the remainder of the summer teaching her the basics of swimming without her life jacket. ,0.57045144,0.37209153,0.05745702,0.0022379407,0.032330204,0.9654318,0,1,2,0.1378,-0.1231999999999999,-0.0971999999999999,0.4970769230769231,-0.1852307692307692,0.1372307692307692,31,36,0.0051774755120277,0.0144091546535491,0.0004860048647969,0.0017554990481585,0.0003068218356929,5.978614353807643e-05,0.9705434441566468,0.0001259090931853,0.0071358657442033,1
hit:3443_conv:6886,joy, I am really looking forward to the new movie.,2.0,So I am really looking forward to the new Avengers movie.,I am too_comma_ it looks good,0.0009346765,0.008985694,0.99007964,0.002809562,0.018573802,0.97861665,0,0,0,0.4595,0.1635,0.2365,0.657,-0.203,0.149,11,6,0.003618313698098,0.0007430619443766,0.0003639818169176,0.9724551439285278,0.0003119828470516,0.008758976124227,0.0027500113938003,0.0001411194243701,0.0108574628829956,1
hit:3443_conv:6886,joy, I am really looking forward to the new movie.,2.0,Yep I am excite after watching all the trailers and interviews! ,That has been fun,0.0015075667,0.010070871,0.98842156,0.008261711,0.07014285,0.92159545,0,2,0,0.2913333333333333,0.4733333333333333,0.1733333333333333,0.836,0.686,0.334,11,4,0.0008337138569913,0.9958066940307616,0.0001953713363036,0.0007897720788605,0.00016788195353,2.2494639779324643e-05,0.000146487756865,0.0019033671123906,0.00013418814342,1
hit:1645_conv:3291,joy,My friends planned a surprise party for my birthday. ,4.0,My friends planned a surprise party for my birthday.,Exciting! Did you get any neat gifts?,0.0015028655,0.13934809,0.8591491,0.001191616,0.013615115,0.98519325,0,0,2,0.7751999999999999,0.3428,0.1944,0.724,0.08,0.2149999999999999,9,7,9.557699377182872e-05,5.90893323533237e-05,3.542474951245822e-05,1.4172394912748132e-05,0.0002322333748452,0.0004722719895653,0.99800843000412,0.0003230569418519,0.0007596897776238,1
hit:1645_conv:3291,joy,My friends planned a surprise party for my birthday. ,4.0,Yes. I got quite a few items I collect. They know me very well. ,It is always good to have friends that know your likes. What is in your collection?,0.010441545,0.31313658,0.6764219,0.003332551,0.15340775,0.84325975,0,0,2,0.3293333333333333,-0.2586666666666666,0.1066666666666666,0.6033333333333334,-0.2683333333333333,0.146,14,16,0.0001712738303467,0.0001377405860694,3.2033814932219684e-05,1.2620314919331577e-05,0.000107116473373,0.0001383214985253,0.9990478157997132,0.0001885792007669,0.000164534736541,1
hit:2595_conv:5191,joy,I got a promotion at work recently_comma_ and that left me a very happy boy.,5.0,I am pretty happy today I would say.,Oh really? What is the good news?,0.0012484354,0.011482215,0.9872693,0.3220472,0.5159281,0.16202474,0,0,1,0.498,-0.0884,0.0416,0.571,-0.052,0.144,8,7,7.5870419095736e-05,0.0001134732374339,5.308528125169687e-05,1.2851588508056013e-05,0.0002739692572504,0.0010751645313575,0.9975643157958984,0.0006250001606531,0.0002063977444777,1
hit:2595_conv:5191,joy,I got a promotion at work recently_comma_ and that left me a very happy boy.,5.0,I have been pining for a promotion at my workplace and I finally got it this afternoon!,That is great! What finally convinved the boss?,0.011068594,0.19835235,0.790579,0.0038283106,0.034846637,0.96132505,1,0,2,0.3484,-0.0416,0.0996,0.541,0.098,0.275,17,8,7.057492621243e-05,0.0008818068308755,3.560431650839746e-05,1.3350078006624244e-05,9.171259443974122e-05,0.0008172313100658,0.9977587461471558,0.0001915695611387,0.0001394166029058,1
hit:2595_conv:5191,joy,I got a promotion at work recently_comma_ and that left me a very happy boy.,5.0,I think it was my streak of not making any mistakes over the last few months if nothing else haha.,It is good to get noticed for that. most of the time you only get attenton for messing up!,0.012777481,0.36565366,0.6215689,0.097307466,0.31504023,0.5876523,1,0,0,0.061,-0.072,-0.179,0.5109999999999999,-0.078,0.2385,20,19,0.0022291564382612,0.0482669249176979,0.0002491629857104,0.0048553505912423,0.0001126201532315,0.0002469346218276,0.0001406123046763,0.0002517103857826,0.943647563457489,1
hit:7123_conv:14247,joy,The sun is shining adn  have no plans today,5.0,The sun is shining where I am and I have no plans. I am fairly happy with that.,Hey that is great! That makes for an awesome day. It is not quite daylight here yet.,0.0020788803,0.026591694,0.97132945,0.0014771842,0.0059403176,0.99258244,1,0,0,0.6516666666666667,0.0476666666666666,0.447,0.6824,0.0683999999999999,0.246,18,17,0.0002518509281799,0.99846613407135,0.0001638736139284,0.0004219598486088,7.391590770566836e-05,4.031597927678376e-05,0.0001113202379201,0.0003954606363549,7.51604457036592e-05,1
