conv_id,context,prompt,speaker_utterance,listener_utterance,valence_speaker,arousal_speaker,dominance_speaker,valence_listener,arousal_listener,dominance_listener,s_word_len,l_word_len,empathy
hit:11054_conv:22108,surprised,a job I applied and interview for a couple of months ago offered me the job. It was unexpected.,a job I applied and interview for a couple of months ago offered me the job. It was unexpected.,Congrats!  How exciting for you.,0.21349999999999997,0.050499999999999996,0.088,0.88,0.518,0.5640000000000001,19,5,3
hit:11054_conv:22108,surprised,a job I applied and interview for a couple of months ago offered me the job. It was unexpected.,"thank you, when they called, I did not know who it was at first, then it was, wow I got the job",That's a long time to hold out hope.  I bet you were shocked.,0.521,-0.12250000000000001,0.3675,0.06566666666666668,-0.09366666666666668,0.020666666666666667,22,13,3
hit:6194_conv:12389,joyful,Got a Costco cake. For myself.,Got a Costco cake. For myself.,"Oh wow, was it good",0.62,-0.25,-0.426,0.876,-0.264,0.068,6,5,2
hit:6194_conv:12389,joyful,Got a Costco cake. For myself.,Yes. It's delicious! Now I just need to figure out how to save this thing.,What kind of cake,0.3376,-0.11480000000000001,-0.10400000000000001,0.728,-0.385,-0.095,15,4,2
hit:4486_conv:8973,annoyed,I lost my keys at the park yesterday.  I was so irritated at myself.,I lost my keys at the park yesterday.,Oh no! Do you have an idea what part of the park?,0.065,-0.2165,-0.33299999999999996,0.46240000000000003,-0.16160000000000002,0.042799999999999984,8,12,3
hit:4486_conv:8973,annoyed,I lost my keys at the park yesterday.  I was so irritated at myself.,"I have no clue, I'm so irritated at myself.",Sorry to hear that. Hopefully you can replace them soon.,0.08000000000000003,0.05666666666666668,-0.14266666666666666,0.1225,-0.1645,-0.19499999999999998,9,10,3
hit:4486_conv:8973,annoyed,I lost my keys at the park yesterday.  I was so irritated at myself.,I lost my keys at the park yesterday.,Oh no! Do you have an idea what part of the park?,0.065,-0.2165,-0.33299999999999996,0.46240000000000003,-0.16160000000000002,0.042799999999999984,8,12,3
hit:4486_conv:8973,annoyed,I lost my keys at the park yesterday.  I was so irritated at myself.,"I have no clue, I'm so irritated at myself.",Sorry to hear that. Hopefully you can replace them soon.,0.08000000000000003,0.05666666666666668,-0.14266666666666666,0.1225,-0.1645,-0.19499999999999998,9,10,3
hit:6182_conv:12365,excited,We went to a rodeo last month. I was very thrilled and I enjoyed a lot!,We went to a rodeo last month,How did that go?,0.178,-0.069,-0.0010000000000000009,0.02,-0.118,-0.112,7,4,3
hit:6182_conv:12365,excited,We went to a rodeo last month. I was very thrilled and I enjoyed a lot!,It was very thrilling experience and I enjoyed a lot!,"Good, I have never been to one at all!",0.5253333333333333,0.10666666666666669,0.37133333333333335,0.4913333333333334,-0.30066666666666664,-0.0020000000000000018,10,9,3
hit:2273_conv:4546,proud,My son just graduated from high school in the spring. It was a long and tough road_comma_ but he made it.,My just graduated from high school in the spring.,Congrats! You must be excited to start your career.,0.524,-0.13133333333333333,0.152,0.46799999999999997,0.27240000000000003,0.248,9,9,3
hit:2273_conv:4546,proud,My son just graduated from high school in the spring. It was a long and tough road_comma_ but he made it.,"Yes I am! It was a long and tough road, but it's finally over!",I'm glad you stayed the course. There are a lot of big opportunities in store for you.,0.062000000000000006,-0.111,0.07699999999999999,0.4506666666666666,0.03866666666666666,0.18566666666666667,14,17,3
hit:287_conv:575,surprised,One Christmas i was really into the holiday season. I was a kid at the time and well i didn't expect my parents to buy me certain gifts. Ended up i got both Pokemon games and went crazy happy from the gift.,So when i got Pokemon for christmas was i was a kid i was so surprised i lost my mind i was so happy and hyper.,I love Pokemon.,0.3982857142857144,0.20857142857142857,0.07571428571428572,1.0,0.038,0.346,26,3,1
hit:287_conv:575,surprised,One Christmas i was really into the holiday season. I was a kid at the time and well i didn't expect my parents to buy me certain gifts. Ended up i got both Pokemon games and went crazy happy from the gift.,"Nice, They also got it on recording so you just see me screaming ""POKEMON! POKEMON!""",Cool. I liked Pokemon blue.,0.1915,0.07450000000000001,-0.052000000000000005,0.531,-0.323,0.07200000000000004,15,5,1
hit:3387_conv:6774,sad,Heavy clouds make me feel bad for some reason.,For some reason I never liked cloudy weather.,Me neither. It's why I hate living in London,0.21133333333333337,-0.24066666666666667,-0.01266666666666666,-0.10399999999999998,0.41,0.157,8,9,2
hit:3387_conv:6774,sad,Heavy clouds make me feel bad for some reason.,"Oh I don't know how you guys do it, you must have artificial sun at home?",Nope. We just remain miserable year round,0.2643333333333333,-0.2783333333333333,0.08933333333333333,-0.0675,-0.228,-0.1775,16,7,2
hit:7644_conv:15289,disgusted,I saw a guy put chocolate in his soup.  It was pretty gross.,I saw a guy put chocolate in his soup.,Ew! That must have been so disgusting!,0.16240000000000002,-0.1876,-0.0956,-0.5609999999999999,0.178,-0.314,9,7,3
hit:7644_conv:15289,disgusted,I saw a guy put chocolate in his soup.  It was pretty gross.,"Yeah, it looked pretty gross.",It must have tasted even worse. ,-0.010000000000000009,0.091,-0.258,-0.53,0.086,-0.334,5,6,3
hit:11159_conv:22319,ashamed,I was walking on the road and I fell,"I was walking on the road, hurrying and I slip and fell. There were several people on the road. I felt really bad.",Were you hurt?,-0.009250000000000008,-0.023500000000000007,-0.10024999999999999,-0.876,0.546,-0.418,23,3,3
hit:11159_conv:22319,ashamed,I was walking on the road and I fell,"Yes! My knee hurt like crazy, someone had to help me up and offered to call an ambulance.",Wow! Did you have to go to the doctor?,-0.04849999999999998,0.138,-0.09375000000000001,0.21000000000000002,-0.027999999999999997,0.305,18,9,3
hit:11159_conv:22319,ashamed,I was walking on the road and I fell,"Yes the ambulance came and they top me to the hospital, they did an ex-ray.",Was anything broken?,-0.046799999999999994,0.1508,0.042,-0.876,0.0,-0.414,15,3,3
hit:11159_conv:22319,ashamed,I was walking on the road and I fell,"Thankfully nothing was broken, but I got medication.. ",I'm sorry to hear about that.,-0.323,-0.061,-0.207,0.166,-0.20900000000000002,-0.344,8,6,3
hit:5301_conv:10602,furious,I cannot believe that my wife cheated on me!,My wife cheated on me! It's absurd!!,Thats very sad to hear im sorry that happened to you ,0.07400000000000001,0.28600000000000003,-0.133,-0.07266666666666667,-0.25066666666666665,-0.4633333333333333,7,11,1
hit:5301_conv:10602,furious,I cannot believe that my wife cheated on me!,"Thank you, what should I do about it?",I would suggest moving on time heals all wounds,0.916,-0.294,0.052,-0.0804,0.024399999999999998,-0.11159999999999999,8,9,1
hit:7703_conv:15406,anxious,My brother and sister are having a baby and today is the gender reveal. Our family cant wait to see what the gender is. ,so my brother will be the first out of 4 kids of my parents to have a baby and today is going to be the gender revealing party. ,You must be really excited for it! Do you think its going to be girl or boy?,0.5265454545454545,-0.2005454545454545,0.12145454545454547,0.38599999999999995,-0.019500000000000003,0.161,28,17,3
hit:7703_conv:15406,anxious,My brother and sister are having a baby and today is the gender reveal. Our family cant wait to see what the gender is. ,"we all want a boy so we are all cant wait to find out what it is. everyone is so impatient about it, but today is the day.","Well, it will great either way as long as the baby is healthy! ",0.148,-0.1176666666666667,-0.126,0.484,-0.205,0.2603333333333333,28,13,3
hit:1891_conv:3783,disgusted,I found a dead bug in the kitchen today. makes me wanna burn the whole house,"i found a dead bug in the kitchen today, it looked so nasty! makes me wanna burn the whole house","I understand that, I hate bugs, even alive ones",-0.013000000000000001,-0.149,-0.19040000000000004,-0.025999999999999968,0.042,-0.03200000000000001,20,9,3
hit:1891_conv:3783,disgusted,I found a dead bug in the kitchen today. makes me wanna burn the whole house,me too! I know they won't hurt me but for some reason i'm terrified of them,"I get that, I am the same way",-0.15099999999999997,0.24550000000000002,0.04699999999999999,0.22,-0.131,0.08700000000000001,16,8,3
hit:12302_conv:24604,sentimental,My brother got hurt badly and i felt so heartfelt for him.,My brother was hurt the other day and i felt so bad.,How did he get hurt?,-0.052,-0.10833333333333334,-0.19200000000000003,-0.198,0.367,-0.04199999999999998,12,5,2
hit:12302_conv:24604,sentimental,My brother got hurt badly and i felt so heartfelt for him.,He fell down and busted his head open. My life kind of changed. I felt so much care for him.,That happened to me a few weeks ago. I was severely dehydrated and I fainted. I hit the ground hard.,0.20244444444444445,-0.08733333333333333,0.049111111111111105,-0.3454285714285715,0.10028571428571428,0.018285714285714294,20,20,2
hit:12302_conv:24604,sentimental,My brother got hurt badly and i felt so heartfelt for him.,Oh no! Are you OK?,I am now. Had to get stitched up.,0.0,0.0,0.0,0.48,0.188,0.334,5,8,2
hit:10562_conv:21125,faithful,My friends invited me to a party that involved alcohol and drugs. I decided to not drink or anything because I am a Christian.,My friends invited me to a party that involved alcohol and drugs. I decided to not drink or anything because I am a Christian.,that is probably for the best you dont want to get involved with that stuff,0.2164,0.3048,-0.0304,0.35533333333333333,0.06866666666666665,0.018666666666666682,24,15,2
hit:10562_conv:21125,faithful,My friends invited me to a party that involved alcohol and drugs. I decided to not drink or anything because I am a Christian.,"Yeah, you don't want to pass out or start hallucinating aliens. That would be very scary.",Could be worse than aliens someone could hurt you. you know ?,-0.06333333333333334,0.13166666666666668,-0.034999999999999996,-0.3505,0.22650000000000003,-0.14450000000000002,16,12,2
hit:5465_conv:10930,lonely,i have had break up recently. I miss my ex very much. I feel so empty now,I have had a break up recently. I feel so empty,I'm sorry. How long had you been together?,0.17850000000000002,-0.28049999999999997,-0.18,0.214,-0.262,-0.057999999999999996,11,8,1
hit:5465_conv:10930,lonely,i have had break up recently. I miss my ex very much. I feel so empty now,I have had a break up recently. I feel so empty,I hope you feel better soon.,0.17850000000000002,-0.28049999999999997,-0.18,0.729,-0.081,0.33499999999999996,11,6,1
hit:9876_conv:19753,trusting,Today at work I let a coworker draw my blood_comma_ knowing she is a novice in the field. I felt I could let her do it since she has been doing good with patients. ,So today I let my co worker draw my blood knowing she is a novice!,oh no. did something bad happen?,0.182,-0.11171428571428572,-0.06942857142857142,-0.198,0.29500000000000004,-0.07600000000000001,15,6,3
hit:9876_conv:19753,trusting,Today at work I let a coworker draw my blood_comma_ knowing she is a novice in the field. I felt I could let her do it since she has been doing good with patients. ,It actually went well. I felt I could give her the benefit of the doubt considering she has been doing really well recently. ,That;s great. I have always been nervous no matter who drew my blood.,0.34700000000000003,-0.23199999999999998,0.05149999999999999,0.06240000000000001,0.16440000000000002,0.10520000000000003,23,13,3
hit:9876_conv:19753,trusting,Today at work I let a coworker draw my blood_comma_ knowing she is a novice in the field. I felt I could let her do it since she has been doing good with patients. ,"I agree! I',m the same way, but even more since she is new, but I had confidence in her ",She is going to be great at that job,0.631,-0.3495,0.245,0.548,-0.036,0.3873333333333333,19,9,3
hit:9693_conv:19387,joyful,My sister just told me that she is having a baby. I'm so excited for her and her husband!,My sister just told me that she is having a baby!,It must be such an exciting time for her and your family!,0.753,-0.311,0.017,0.46499999999999997,-0.07750000000000001,0.241,11,12,3
hit:9693_conv:19387,joyful,My sister just told me that she is having a baby. I'm so excited for her and her husband!,Yeah I'm so happy for her and her husband!,Get a nice gift for her to let her know how happy you are for them!,0.771,0.235,0.42700000000000005,0.5806666666666667,0.014666666666666661,0.19433333333333333,9,16,3
hit:6986_conv:13973,furious,My dad was picking on my younger sister. I defended her_comma_ and was kicked out of my house.,"A while back, I intervened when I saw my dad was picking on my younger sister.",That was good of you.  He didn't hurt her did he?,0.26349999999999996,-0.185,0.10099999999999998,0.0,0.14100000000000001,-0.175,16,11,3
hit:6986_conv:13973,furious,My dad was picking on my younger sister. I defended her_comma_ and was kicked out of my house.,"No, but he was just being mean. So mean he decided to kick me out of the house.",Oh no!!! Where did you end up going?,-0.131,-0.07,0.14950000000000002,-0.604,-0.302,-0.404,18,8,3
hit:6986_conv:13973,furious,My dad was picking on my younger sister. I defended her_comma_ and was kicked out of my house.,"To my girlfriend's place. Luckily it only lasted a week, and my Mom is super caring and loving. She took me back in against his wishes.",That was so awesome of your mom :),0.4115,-0.12300000000000001,0.07175000000000001,0.907,0.233,0.53,26,8,3
hit:12061_conv:24123,content,I was very nervous starting my new job a few months but_comma_ but I've really gotten the hang of things. I'm very comfortable here now.,I was very nervous starting my new job a few months ago,"A new job can be a little nerve wracking. Did it get better, once you settled in?",0.14040000000000002,-0.04560000000000001,-0.06919999999999998,0.07500000000000001,-0.040000000000000015,-0.008249999999999993,12,17,3
hit:12061_conv:24123,content,I was very nervous starting my new job a few months but_comma_ but I've really gotten the hang of things. I'm very comfortable here now.,Absolutely!  I've really gotten the hang of things. I'm very comfortable here now.,That's great. It sound like it's really working out for you. ,0.13266666666666668,-0.3906666666666667,-0.214,0.591,0.11300000000000002,0.11500000000000002,13,11,3
hit:3618_conv:7236,sentimental,I miss my old house in Orlando,I miss my old house in Orlando,"ok, where do you live now",0.15999999999999998,-0.375,-0.059,0.55,0.22099999999999997,0.212,7,6,2
hit:3618_conv:7236,sentimental,I miss my old house in Orlando,"I live in Cleveland, a very boring city.",ya every one shares a good bond with our native places,0.2806666666666667,-0.05266666666666666,-0.12733333333333333,0.3713333333333333,-0.19666666666666666,0.06233333333333333,8,11,2
